Rating,Location (City),Type of ownership,Industry,Sector,Lower Salary,Upper Salary,Age,Years of Experience,Population,Categorized Job Title,Average Take Home Income,Minimum Take Home Income,Maximum Take Home Income
4.6,Huntsville,Company - Private,Aerospace & Defense,Aerospace & Defense,41000,95000,19,10.0,216963.0,Data Analyst,22486.481999999996,1348.7620000000024,43428.222
4.6,Huntsville,Company - Private,Aerospace & Defense,Aerospace & Defense,41000,95000,19,10.0,216963.0,Data Analyst,22524.747999999992,1387.0279999999984,43466.488
3.7,Armonk,Company - Public,Insurance Agencies & Brokerages,Insurance,86000,144000,158,4.0,976107.3524390244,Data Scientist,55299.08,33197.34,77339.08
3.7,San Diego,Company - Public,Aerospace & Defense,Aerospace & Defense,80000,139000,82,2.0,1381611.0,Data Scientist,37266.78800000001,14665.048000000003,59686.78800000001
3.5,Albuquerque,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56000,95000,151,5.0,562599.0,Data Scientist,27724.225999999995,12514.225999999995,42815.966
4.1,San Francisco,Company - Private,Enterprise Software & Network Solutions,Information Technology,120000,189000,9,5.0,815201.0,Data Scientist,55242.004,29022.004,79946.324
4.7,Saint Louis,Company - Private,IT Services,Information Technology,111000,176000,5,5.0,976107.3524390244,Data Scientist,76959.08,52259.08,101183.4
4.1,Baltimore,Company - Private,Banks & Credit Unions,Finance,54000,93000,13,5.0,576498.0,Data Scientist,20768.719999999994,5558.719999999994,35900.46
3.4,Dallas,Company - Public,Real Estate,Real Estate,71000,119000,21,5.0,1288457.0,Data Scientist,40673.07,22071.329999999994,58913.07
4.4,Cincinnati,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,82000,132000,136,5.0,308935.0,Data Scientist,52127.296,32985.556,71127.296
4.3,New York,Company - Private,Consulting,Business Services,84000,146000,10,5.0,8467513.0,Data Scientist,44584.6,20922.859999999993,68144.6
3.8,Palo Alto,Company - Public,Financial Transaction Processing,Finance,107000,172000,15,5.0,66680.0,Data Scientist,73919.08,49219.08,98463.4
3.8,Coraopolis,Company - Public,Sporting Goods Stores,Retail,61000,109000,73,5.0,976107.3524390244,Data Scientist,32417.339999999997,13697.339999999997,50739.08
2.8,Framingham,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,88000,148000,15,3.0,71265.0,Data Scientist,57579.08,34757.34,80379.08
4.7,Atlanta,Company - Private,Computer Hardware & Software,Information Technology,60000,99000,18,5.0,496461.0,Data Scientist,28012.542,12802.542000000001,43024.28200000001
3.1,Boston,Company - Public,Advertising & Marketing,Business Services,41000,72000,22,5.0,654776.0,Data Scientist,-2287.3759999999966,-14455.09599999999,9802.624000000003
3.2,Philadelphia,Company - Private,Staffing & Outsourcing,Business Services,96000,161000,-1,5.0,1576251.0,Data Scientist,64258.036,39558.036,88958.036
4.0,Vancouver,Company - Public,Computer Hardware & Software,Information Technology,65000,130000,82,4.0,192169.0,Data Scientist,41999.08,16817.339999999997,66699.08
4.4,Indianapolis,Company - Private,Enterprise Software & Network Solutions,Information Technology,52000,81000,6,3.0,976107.3524390244,Other,21737.407999999996,10427.407999999996,33047.407999999996
3.6,Lake Forest,Company - Public,Wholesale,Business Services,139000,220000,94,5.0,85742.0,Other,103563.4,73539.08,130982.25
2.7,Maryland Heights,Subsidiary or Business Segment,Research & Development,Business Services,50000,102000,43,10.0,976107.3524390244,Data Scientist,25397.339999999997,5117.340000000004,45419.08
3.9,Charlottesville,Company - Private,IT Services,Information Technology,85000,139000,11,5.0,976107.3524390244,Data Scientist,52215.494000000006,31613.754,72735.494
3.1,Pittsburgh,Company - Private,Mining,Mining & Metals,74000,122000,161,3.0,300431.0,Data Scientist,45019.434,26477.693999999996,63259.434
4.0,Vancouver,Company - Public,Computer Hardware & Software,Information Technology,99000,157000,82,5.0,192169.0,Data Scientist,65179.08,43139.08,87219.08
4.3,Mountain View,Company - Private,Enterprise Software & Network Solutions,Information Technology,79000,222000,10,5.0,81516.0,Data Scientist,82279.08,27737.339999999997,132282.25
1.9,Cambridge,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,57000,118000,21,2.0,117090.0,Data Scientist,34367.34,10577.339999999997,57579.08
3.3,Chantilly,Company - Private,Aerospace & Defense,Aerospace & Defense,83000,137000,4,7.0,976107.3524390244,Data Scientist,51499.08,30857.339999999997,72019.08
4.4,San Jose,Company - Private,IT Services,Information Technology,86000,141000,26,5.0,983489.0,Data Scientist,26033.569999999992,5071.829999999987,46933.56999999999
3.9,San Francisco,Company - Private,Health Care Services & Hospitals,Health Care,94000,154000,5,5.0,815201.0,Data Scientist,32062.004,9262.004,54862.004
4.7,Harrisburg,Company - Private,Advertising & Marketing,Business Services,37000,76000,24,3.0,50135.0,Data Analyst,11794.511999999995,-3893.2079999999987,27004.511999999995
4.5,Laurel,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,100000,160000,79,4.0,976107.3524390244,Data Scientist,72094.586,49294.585999999996,94894.586
4.3,Chicago,Company - Private,Computer Hardware & Software,Information Technology,55000,100000,13,5.0,2696555.0,Data Analyst,26529.074,8979.074,43860.814000000006
4.0,Arlington,Company - Private,Consulting,Business Services,60000,114000,19,5.0,392786.0,Data Engineer,33977.34,12917.339999999997,54539.08
4.4,Tacoma,Company - Private,Wholesale,Business Services,39000,68000,73,5.0,219205.0,Data Analyst,7847.3399999999965,-3740.3799999999974,19157.339999999997
3.2,Plano,Company - Public,"Department, Clothing, & Shoe Stores",Retail,106000,172000,59,5.0,288253.0,Data Scientist,73539.08,48459.08,98463.4
3.8,San Jose,Company - Private,Consulting,Business Services,86000,142000,16,5.0,983489.0,Data Scientist,26413.569999999992,5071.829999999987,47693.56999999999
4.2,Miami,Company - Private,Enterprise Software & Network Solutions,Information Technology,64000,107000,13,5.0,439890.0,Data Scientist,28942.473999999995,12172.473999999995,45354.214
4.5,Huntsville,Company - Private,IT Services,Information Technology,31000,65000,25,5.0,216963.0,Other,6886.482000000004,-7451.238000000001,20146.481999999996
4.5,Huntsville,Company - Private,IT Services,Information Technology,31000,65000,25,5.0,216963.0,Other,6924.748,-7412.972000000005,20184.747999999992
3.5,New Orleans,Company - Private,Enterprise Software & Network Solutions,Information Technology,34000,62000,22,5.0,376971.0,Data Analyst,6465.556000000004,-5232.164000000001,17385.555999999997
3.5,San Francisco,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,117000,231000,31,8.0,815201.0,Data Scientist,69746.324,26742.004,108055.174
3.9,Atlanta,Company - Public,Financial Analytics & Research,Finance,64000,106000,53,2.0,496461.0,Data Scientist,32302.542,15922.542000000001,48344.28200000001
4.7,Landover,Company - Private,IT Services,Information Technology,79000,134000,18,5.0,976107.3524390244,Other,48839.08,27737.339999999997,69739.08
4.2,Patuxent River,Company - Private,IT Services,Information Technology,52000,93000,33,5.0,976107.3524390244,Data Scientist,22667.339999999997,6677.3399999999965,38579.08
3.4,Suitland,Subsidiary or Business Segment,IT Services,Information Technology,55000,116000,25,8.0,976107.3524390244,Data Scientist,32807.34,9017.339999999997,56059.08
3.2,McLean,Nonprofit Organization,Federal Agencies,Government,72000,123000,63,2.0,976107.3524390244,Data Scientist,41999.08,22277.339999999997,61379.08
3.9,Fort Belvoir,Company - Private,IT Services,Information Technology,74000,124000,11,5.0,976107.3524390244,Data Scientist,43139.08,23837.339999999997,62139.08
3.1,Milwaukee,Company - Private,Insurance Carriers,Insurance,40000,73000,20,2.0,569330.0,Data Analyst,12559.832000000002,-487.88799999999173,25429.832000000002
4.1,Silver Spring,Company - Private,IT Services,Information Technology,102000,164000,14,10.0,976107.3524390244,Data Scientist,68979.08,45419.08,92539.08
3.8,New York,Company - Private,Research & Development,Business Services,89000,153000,9,5.0,8467513.0,Data Scientist,49144.6,24822.859999999993,73464.6
4.7,Syracuse,Company - Private,Security Services,Business Services,61000,110000,29,5.0,146103.0,Data Scientist,34682.373999999996,15572.373999999996,53374.114
4.3,Houston,Subsidiary or Business Segment,Education Training Services,Education,65000,110000,6,5.0,2288250.0,Data Scientist,35974.511999999995,18424.511999999995,53106.252
4.2,Washington,Company - Private,Consulting,Business Services,200000,275000,86,16.0,670050.0,Data Scientist,134665.784,109811.93400000001,159040.784
3.9,Charlotte,Company - Private,IT Services,Information Technology,68000,123000,24,3.0,879709.0,Data Engineer,41282.666,19960.925999999992,62182.666
3.3,Southfield,Company - Public,Transportation Equipment Manufacturing,Manufacturing,80000,129000,27,5.0,75898.0,Data Scientist,47319.08,28517.339999999997,65939.08
4.7,Matawan,Company - Private,Computer Hardware & Software,Information Technology,41000,72000,9,5.0,976107.3524390244,Data Analyst,10187.339999999997,-1980.3799999999974,22277.339999999997
4.3,Phoenix,Company - Private,Enterprise Software & Network Solutions,Information Technology,39000,71000,11,5.0,1624569.0,Data Analyst,7371.902000000002,-5385.817999999992,19851.902000000002
2.9,Omaha,Hospital,Health Care Services & Hospitals,Health Care,38000,85000,44,5.0,487300.0,Data Scientist,16804.225999999995,-1903.4939999999988,35134.225999999995
4.5,San Francisco,Company - Private,Computer Hardware & Software,Information Technology,121000,193000,15,4.0,815201.0,Data Scientist,57142.004,29782.004,82666.324
3.4,Lyndhurst,Company - Private,Internet,Information Technology,54000,102000,2,5.0,976107.3524390244,Data Engineer,26957.339999999997,8237.339999999997,45419.08
3.7,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,83000,144000,240,5.0,117090.0,Data Scientist,54159.08,30857.339999999997,77339.08
4.6,New York,Company - Private,Internet,Information Technology,120000,160000,12,5.0,8467513.0,Data Scientist,63584.6,48384.6,78784.6
3.2,San Francisco,Company - Private,Enterprise Software & Network Solutions,Information Technology,102000,163000,6,2.0,815201.0,Data Scientist,38522.004,15342.004,61702.004
4.0,San Francisco,Company - Public,Computer Hardware & Software,Information Technology,76000,140000,39,3.0,815201.0,Data Engineer,19902.004,-4679.736000000004,44222.004
4.6,Atlanta,Company - Private,Farm Support Services,Agriculture & Forestry,60000,101000,84,5.0,496461.0,Data Scientist,28792.542,12802.542000000001,44544.28200000001
2.8,Rockville,Company - Private,Health Care Services & Hospitals,Health Care,82000,133000,21,5.0,67139.0,Data Scientist,49599.08,30077.339999999997,68979.08
4.7,Minneapolis,Company - Private,Consulting,Business Services,65000,125000,25,5.0,425336.0,Data Engineer,38032.716,14750.975999999995,60832.716
3.0,Los Angeles,Nonprofit Organization,Health Care Services & Hospitals,Health Care,91000,148000,24,8.0,3849297.0,Data Scientist,43183.084,21523.084000000003,64843.084
3.2,Charlotte,Company - Private,Advertising & Marketing,Business Services,95000,173000,21,5.0,879709.0,Data Engineer,70542.666,40902.666,99946.98599999999
4.4,Cambridge,Company - Private,Enterprise Software & Network Solutions,Information Technology,77000,124000,22,1.0,117090.0,Data Scientist,44279.08,26177.339999999997,62139.08
3.5,Cincinnati,Company - Public,TV Broadcast & Cable Networks,Media,80000,135000,143,3.0,308935.0,Data Scientist,52507.296,31425.555999999997,73407.296
4.0,Washington,Company - Private,Internet,Information Technology,85000,159000,6,5.0,670050.0,Data Engineer,52927.61400000001,24725.874000000003,81047.614
4.3,Chicago,Company - Public,Real Estate,Real Estate,80000,105000,28,2.0,2696555.0,Data Engineer,38160.814000000006,28479.074,47660.814000000006
2.3,Baltimore,Company - Private,Research & Development,Business Services,43000,81000,35,3.0,576498.0,Data Analyst,11798.719999999994,-3021.279999999999,26618.719999999994
4.0,Alabaster,Other Organization,Architectural & Engineering Services,Business Services,29000,50000,21,5.0,976107.3524390244,Data Scientist,-3300.3799999999974,-12540.380000000001,5117.340000000004
3.8,Kansas City,Company - Private,Staffing & Outsourcing,Business Services,26000,55000,4,5.0,508394.0,Other,793.9640000000072,-11966.035999999996,12231.684000000001
3.8,Kansas City,Company - Private,Staffing & Outsourcing,Business Services,26000,55000,4,5.0,154545.0,Other,793.9640000000072,-11966.035999999996,12231.684000000001
3.7,Ashburn,Company - Public,IT Services,Information Technology,61000,118000,63,4.0,976107.3524390244,Data Scientist,35919.08,13697.339999999997,57579.08
4.4,Chicago,Company - Private,Consulting,Business Services,60000,102000,13,5.0,2696555.0,Data Scientist,29259.074,12879.074,45380.814000000006
4.0,Herndon,Company - Private,Enterprise Software & Network Solutions,Information Technology,112000,182000,9,5.0,976107.3524390244,Data Scientist,79619.08,53019.08,105263.4
3.2,Fort Worth,Company - Private,Brokerage Services,Finance,64000,106000,63,5.0,935508.0,Data Scientist,32417.339999999997,16037.339999999997,48459.08
3.8,Novato,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,113000,223000,24,6.0,52708.0,Data Scientist,95579.08000000002,53779.08,132932.25
4.3,Aurora,Company - Private,Aerospace & Defense,Aerospace & Defense,72000,129000,14,15.0,389347.0,Data Engineer,44279.08,22277.339999999997,65939.08
4.3,Aurora,Company - Private,Aerospace & Defense,Aerospace & Defense,72000,129000,14,15.0,179266.0,Data Engineer,44279.08,22277.339999999997,65939.08
3.4,New York,Company - Private,Consulting,Business Services,71000,123000,78,5.0,8467513.0,Data Scientist,30904.6,10782.859999999993,50664.6
4.1,Chantilly,Company - Public,Research & Development,Business Services,64000,106000,53,5.0,976107.3524390244,Data Scientist,32417.339999999997,16037.339999999997,48459.08
4.3,Mountain View,Company - Private,Enterprise Software & Network Solutions,Information Technology,118000,189000,10,5.0,81516.0,Data Scientist,84559.08,57579.08,110023.4
5.0,Tampa,Company - Private,IT Services,Information Technology,120000,145000,4,5.0,387050.0,Data Engineer,68063.356,58563.356,77563.356
4.3,Chicago,Company - Private,Computer Hardware & Software,Information Technology,80000,120000,13,5.0,2696555.0,Data Engineer,43860.814000000006,28479.074,59060.814000000006
3.7,Denver,Company - Private,Travel Agencies,Travel & Tourism,80000,130000,10,5.0,711463.0,Data Scientist,43068.894,23887.153999999995,62068.894
4.2,Riverton,Nonprofit Organization,Religious Organizations,Non-Profit,59000,115000,-1,5.0,976107.3524390244,Data Engineer,33977.34,12137.339999999997,55299.08
4.3,San Francisco,Company - Private,Real Estate,Real Estate,71000,136000,8,5.0,815201.0,Data Analyst,16482.004,-8579.736000000004,41182.004
2.6,Pittsburgh,College / University,Colleges & Universities,Education,81000,167000,37,5.0,300431.0,Data Scientist,64779.434,31937.693999999996,97459.43400000001
3.8,Richland,Government,Energy,"Oil, Gas, Energy & Utilities",49000,85000,56,1.0,61929.0,Data Scientist,18377.339999999997,4337.340000000004,32417.339999999997
3.9,Washington,Company - Private,IT Services,Information Technology,60000,114000,21,5.0,670050.0,Data Engineer,26285.874000000003,5225.874000000003,46847.61400000001
4.3,Chicago,Company - Private,Enterprise Software & Network Solutions,Information Technology,71000,204000,10,5.0,2696555.0,Data Scientist,72360.81400000001,21459.074,120185.13399999999
3.8,Cincinnati,Company - Private,Advertising & Marketing,Business Services,75000,125000,34,30.0,308935.0,Data Scientist,46807.296,27525.555999999997,65807.296
3.8,Chattanooga,Nonprofit Organization,Insurance Carriers,Insurance,77000,136000,76,5.0,182113.0,Data Engineer,52206.488,29544.747999999992,74626.488
3.8,Richland,Government,Energy,"Oil, Gas, Energy & Utilities",74000,123000,56,7.0,61929.0,Data Scientist,42759.08,23837.339999999997,61379.08
4.8,Clearwater,Company - Private,Security Services,Business Services,44000,78000,11,5.0,116674.0,Data Analyst,13697.339999999997,437.3400000000038,26957.339999999997
4.4,Indianapolis,Company - Private,Consulting,Business Services,65000,148000,13,2.0,976107.3524390244,Data Engineer,52589.148,20567.407999999996,84129.148
3.9,Cambridge,Company - Private,Internet,Information Technology,59000,110000,16,5.0,117090.0,Data Engineer,32027.339999999997,12137.339999999997,51499.08
3.4,Ewing,Company - Public,Consumer Products Manufacturing,Manufacturing,85000,134000,175,5.0,976107.3524390244,Other,51119.08,32417.339999999997,69739.08
3.6,Boston,Company - Private,Insurance Carriers,Insurance,124000,204000,170,5.0,654776.0,Data Scientist,80064.364,49664.36400000001,107748.68400000001
3.9,South San Francisco,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,131000,207000,45,2.0,64251.0,Data Scientist,96339.08000000002,67459.08,122263.4
3.8,Cupertino,Company - Public,Telecommunications Services,Telecommunications,110000,174000,25,5.0,58622.0,Data Scientist,75819.08,51499.08,99823.4
3.7,Boston,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,52000,101000,240,5.0,654776.0,Data Scientist,13312.624000000003,-5797.375999999997,32184.36400000001
3.8,Frederick,Company - Private,Insurance Carriers,Insurance,81000,133000,40,5.0,79588.0,Data Scientist,49219.08,29297.339999999997,68979.08
3.9,Dallas,Company - Private,Insurance Agencies & Brokerages,Insurance,73000,119000,8,5.0,1288457.0,Data Scientist,41433.07,23631.329999999994,58913.07
4.2,San Francisco,Company - Private,Enterprise Software & Network Solutions,Information Technology,110000,175000,11,5.0,815201.0,Data Scientist,46122.004,21422.004,70426.324
4.2,Riverton,Nonprofit Organization,Religious Organizations,Non-Profit,74000,140000,-1,5.0,976107.3524390244,Data Engineer,49219.08,23837.339999999997,74299.08
3.5,Marlborough,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100000,190000,11,3.0,976107.3524390244,Data Scientist,78099.08,43899.08,110703.4
2.9,Herndon,Nonprofit Organization,Colleges & Universities,Education,43000,80000,28,8.0,976107.3524390244,Data Analyst,14087.339999999997,-342.6599999999962,28517.339999999997
3.6,West Reading,Nonprofit Organization,Health Care Services & Hospitals,Health Care,35000,49000,4,1.0,976107.3524390244,Data Scientist,-1122.6599999999962,-7260.380000000001,4337.340000000004
2.7,Madison,Government,Investment Banking & Asset Management,Finance,91000,149000,70,10.0,269196.0,Data Scientist,59290.41,37250.41,81330.41
2.7,Madison,Government,Investment Banking & Asset Management,Finance,91000,149000,70,10.0,58357.0,Data Scientist,59290.41,37250.41,81330.41
4.4,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,42000,82000,8,2.0,117090.0,Data Scientist,14477.339999999997,-1122.6599999999962,30077.339999999997
4.0,San Francisco,Company - Public,Computer Hardware & Software,Information Technology,116000,185000,39,5.0,815201.0,Data Scientist,52202.004,25982.004,77226.324
4.3,Dearborn,Company - Private,Advertising & Marketing,Business Services,59000,116000,54,5.0,108420.0,Other,34367.34,12137.339999999997,56059.08
4.2,Winter Park,Company - Public,Advertising & Marketing,Business Services,48000,95000,15,5.0,976107.3524390244,Data Engineer,21887.339999999997,3557.340000000004,40099.08
3.6,San Rafael,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,31000,72000,15,3.0,60769.0,Data Analyst,6287.3399999999965,-10780.380000000001,22277.339999999997
3.7,San Diego,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,105000,198000,240,5.0,1381611.0,Data Scientist,69186.788,33846.78800000001,102291.10800000001
